Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,89.15,,82.08,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,147.31,24.32,125.75,21.39,,
2017-11-01,2017-11-01,2017-12-01,Bullish breath,MACD Bullish,145.1,19.75,121.6,19.75,,
2017-12-01,2017-12-01,2018-01-01,Bullish breath,MACD Bullish breath,136.76,17.07,128.8,17.07,,
2018-01-01,2018-01-01,2018-02-01,Bullish,MACD Bullish breath,144.2,18.69,133.0,18.69,,
2018-02-01,2018-02-01,2018-10-01,Bullish,MACD Bullish,200.85,43.2,138.4,22.37,,
2018-10-01,2018-10-01,2018-11-01,Bullish breath,MACD Bullish,186.46,35.86,169.41,35.86,,
2018-11-01,2018-11-01,2019-03-01,Bullish breath,MACD Bullish breath,188.0,26.44,138.39,12.2,,
2019-03-01,2019-03-01,2019-04-01,Bullish breath,MACD Bullish,187.07,24.59,176.31,24.59,Sell - Monthly Divergence,
2019-04-01,2019-04-01,2020-02-01,Bullish,MACD Bullish,280.67,59.97,180.38,30.29,,
2020-02-01,2020-02-01,2020-03-01,Bullish breath,MACD Bullish,288.59,51.68,235.4,51.68,,
2020-03-01,2020-03-01,2020-04-01,Bullish breath,MACD Bullish breath,260.44,31.5,156.15,31.5,,
2020-04-01,2020-04-01,2020-05-01,Bullish,MACD Bullish breath,258.99,37.6,199.56,37.6,,
2020-05-01,2020-05-01,2020-12-01,Bullish breath,MACD Bullish breath,266.31,39.3,190.16,4.96,,
2020-12-01,2020-12-01,2021-02-01,Bullish breath,MACD Bullish,263.77,23.36,233.12,23.19,,
2021-02-01,2021-02-01,2021-03-01,Bullish breath,MACD Bullish breath,244.73,13.79,221.0,13.79,,
2021-03-01,2021-03-01,2021-07-01,Bullish breath,MACD Bullish,266.96,26.87,215.18,19.71,,
2021-07-01,2021-07-01,2021-08-01,Bullish,MACD Bullish,270.54,30.69,252.28,30.69,,
2021-08-01,2021-08-01,2021-09-01,Bullish breath,MACD Bullish,270.73,27.38,246.73,27.38,,
2021-09-01,2021-09-01,2021-11-01,Bullish,MACD Bullish,288.46,36.38,247.68,26.78,,
2021-11-01,2021-11-01,2022-03-01,Bullish breath,MACD Bullish breath,290.71,27.47,238.29,15.79,,
2022-03-01,2022-03-01,2022-04-01,Bullish,MACD Bullish,313.52,36.09,277.57,36.09,Sell - Monthly Divergence,
2022-04-01,2022-04-01,2022-07-01,Bullish breath,MACD Bullish breath,308.84,25.39,252.0,25.02,,
2022-07-01,2022-07-01,2022-08-01,Bullish,MACD Bullish,302.4,32.95,275.36,32.95,,
2022-08-01,2022-08-01,2022-10-01,Bullish breath,MACD Bullish breath,303.82,26.18,260.31,13.64,,
2022-10-01,2022-10-01,2022-11-01,Bullish breath,MACD Bullish,309.58,25.63,245.32,25.63,Sell - Monthly Divergence,
2022-11-01,2022-11-01,2023-02-01,Bullish,MACD Bullish,319.33,33.75,281.1,31.28,,
2023-02-01,2023-02-01,2023-04-01,Bullish breath,MACD Bullish breath,311.86,24.96,275.79,22.1,,
2023-04-01,2023-04-01,2023-05-01,Bullish,MACD Bullish,316.61,27.21,294.1,27.21,,
2023-05-01,2023-05-01,2023-06-01,Bullish breath,MACD Bullish breath,317.97,22.56,293.69,22.56,,
2023-06-01,2023-06-01,2023-08-01,Bullish,MACD Bullish,355.51,46.84,298.47,37.3,,
2023-08-01,2023-08-01,2023-09-01,Bullish breath,MACD Bullish,359.33,39.96,324.19,39.96,,
2023-09-01,2023-09-01,2023-12-01,Bullish breath,MACD Bullish breath,347.63,29.3,302.21,23.66,,
