Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,20.22,,16.72,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish breath,39.75,6.02,32.2,5.34,,
2017-11-01,2017-11-01,2017-12-01,Bullish breath,MACD Bullish breath,38.87,6.66,35.8,6.66,,
2017-12-01,2017-12-01,2018-06-01,Bullish,MACD Bullish,52.1,10.98,37.45,8.68,,
2018-06-01,2018-06-01,2018-07-01,Bullish breath,MACD Bullish,51.32,9.59,44.76,9.59,,
2018-07-01,2018-07-01,2019-04-01,Bullish breath,MACD Bullish breath,49.7,9.14,28.91,-3.44,,
2019-04-01,2019-04-01,2019-05-01,Bullish breath,MACD Bearish,36.14,-3.4,31.33,-3.4,,
2019-05-01,2019-05-01,2019-10-01,Bearish,MACD Bearish,33.33,-4.83,25.03,-6.82,,
2019-10-01,2019-10-01,2020-02-01,Bearish,MACD Bearish breath,35.78,-1.24,27.53,-4.35,,
2020-02-01,2020-02-01,2020-07-01,Bearish,MACD Bearish,30.85,-4.29,14.98,-6.87,,
2020-07-01,2020-07-01,2020-09-01,Bearish,MACD Bearish breath,31.47,-2.63,24.0,-4.15,,
2020-09-01,2020-09-01,2021-01-01,Bearish breath,MACD Bearish breath,40.22,3.49,28.31,-2.21,,
2021-01-01,2021-01-01,2021-02-01,Bearish breath,MACD Bullish,42.1,2.93,33.77,2.93,,
2021-02-01,2021-02-01,2021-09-01,Bullish,MACD Bullish,74.37,21.47,33.95,5.68,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish,68.18,17.41,55.87,17.41,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish,68.91,18.12,56.53,18.12,,
2021-11-01,2021-11-01,2022-02-01,Bullish breath,MACD Bullish breath,69.02,15.1,50.54,10.34,,
2022-02-01,2022-02-01,2022-06-01,Bullish,MACD Bullish,100.37,25.42,56.45,14.63,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bullish breath,86.94,16.78,62.44,16.52,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,88.62,17.49,74.59,17.49,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,87.29,13.01,69.12,13.01,,
2022-10-01,2022-10-01,2023-04-01,Bullish,MACD Bullish,136.46,40.16,72.06,20.29,,
2023-04-01,2023-04-01,2023-11-01,Bullish breath,MACD Bullish breath,115.12,28.04,90.55,16.4,,
2023-11-01,2023-11-01,2023-12-01,Bullish breath,MACD Bullish,120.6,21.93,105.63,20.52,,
