Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,33.86,,31.02,,,
2017-09-01,2017-09-01,2017-11-01,,MACD Bullish,64.26,16.19,54.06,13.83,,
2017-11-01,2017-11-01,2018-02-01,Bullish,MACD Bullish,74.78,20.55,60.6,19.28,,
2018-02-01,2018-02-01,2018-03-01,Bullish breath,MACD Bullish,70.12,16.78,63.39,16.78,,
2018-03-01,2018-03-01,2018-11-01,Bullish,MACD Bullish,260.98,108.44,61.96,27.34,,
2018-11-01,2018-11-01,2019-11-01,Bullish breath,MACD Bullish breath,219.9,69.01,95.1,-8.52,,
2019-11-01,2019-11-01,2020-02-01,Bullish breath,MACD Bearish,119.99,-8.98,66.5,-14.81,,
2020-02-01,2020-02-01,2020-05-01,Bearish,MACD Bearish,107.36,-17.95,49.03,-29.07,,
2020-05-01,2020-05-01,2020-07-01,Bearish,MACD Bearish breath,139.72,7.69,71.66,-14.4,,
2020-07-01,2020-07-01,2020-08-01,Bullish,MACD Bearish breath,170.42,29.71,134.18,29.71,,
2020-08-01,2020-08-01,2021-08-01,Bullish,MACD Bullish,336.99,107.58,139.59,29.22,Sell - Monthly Divergence,
2021-08-01,2021-08-01,2022-06-01,Bullish breath,MACD Bullish breath,295.38,65.5,154.67,-14.92,,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bearish,192.44,-10.9,164.22,-13.88,,
2022-08-01,2022-08-01,2023-07-01,Bearish,MACD Bearish,178.77,-32.94,77.67,-54.04,,
2023-07-01,2023-07-01,2023-09-01,Bearish,MACD Bearish breath,109.52,-40.55,83.0,-42.66,,
2023-09-01,2023-09-01,2023-12-01,Bearish,MACD Bearish,85.62,-46.1,61.94,-48.87,,
