Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,5.9,,5.2,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,8.76,1.55,8.0,1.54,None,
2017-10-01,2017-10-01,2018-05-01,Bullish,MACD Bullish,21.57,7.5,8.67,1.86,None,
2018-05-01,2018-05-01,2018-06-01,Bullish breath,MACD Bullish,19.67,5.66,12.6,5.66,None,
2018-06-01,2018-06-01,2018-08-01,Bullish,MACD Bullish,19.0,5.69,12.26,5.12,,
2018-08-01,2018-08-01,2018-09-01,Bullish,MACD Bullish breath,18.8,5.2,16.4,5.2,,
2018-09-01,2018-09-01,2019-07-01,Bullish breath,MACD Bullish breath,17.95,4.79,11.19,-0.27,,
2019-07-01,2019-07-01,2019-08-01,Bullish breath,MACD Bullish,16.98,1.44,13.55,1.44,,
2019-08-01,2019-08-01,2019-09-01,Bullish breath,MACD Bullish breath,15.79,0.15,10.53,0.15,,
2019-09-01,2019-09-01,2019-11-01,Bullish breath,MACD Bullish,17.89,1.84,11.0,1.17,,
2019-11-01,2019-11-01,2019-12-01,Bullish breath,MACD Bullish breath,16.4,0.92,12.25,0.92,,
2019-12-01,2019-12-01,2020-02-01,Bullish breath,MACD Bullish,17.44,2.12,12.8,1.56,,
2020-02-01,2020-02-01,2020-04-01,Bullish breath,MACD Bullish breath,14.89,0.41,6.01,-1.62,,Waiting for confirmation : Buy
2020-04-01,2020-04-01,2020-11-01,Bearish,MACD Bearish,11.9,-2.6,5.99,-3.8,,
2020-11-01,2020-11-01,2021-04-01,Bearish,MACD Bearish breath,14.0,-1.21,8.13,-2.25,,
2021-04-01,2021-04-01,2021-05-01,Bearish,MACD Bearish,9.45,-2.02,7.78,-2.02,,
2021-05-01,2021-05-01,2021-09-01,Bearish breath,MACD Bearish breath,20.38,1.22,7.71,-0.94,,
2021-09-01,2021-09-01,2021-10-01,Bearish breath,MACD Bullish,14.34,1.48,10.02,1.48,,
2021-10-01,2021-10-01,2022-06-01,Bullish,MACD Bullish,23.02,6.46,11.04,0.8,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish,22.3,3.68,13.76,3.68,,
2022-07-01,2022-07-01,2022-10-01,Bullish breath,MACD Bullish breath,16.74,2.8,13.35,1.62,,
2022-10-01,2022-10-01,2023-04-01,Bullish,MACD Bullish,31.59,8.66,15.26,2.7,,
2023-04-01,2023-04-01,2023-12-01,Bullish breath,MACD Bullish breath,26.42,4.43,11.69,-2.51,,
2023-12-01,2023-12-01,2024-01-01,Bullish breath,MACD Bearish,18.69,-1.05,14.85,-1.05,,
2024-01-01,2024-01-01,,Bullish breath,MACD Bullish,19.84,0.44,17.32,0.44,,
